word,latitude,longitude
lights,42.5377778,-83.2330556
lights,32.8544444,-79.975
lights,45.5827778,-122.3522222
lights,38.7583333,-104.7425
lights,29.7630556,-95.3630556
lights,41.0338889,-73.7633333
lights,43.0388889,-87.9063889
lights,35.8905556,-83.7247222
lights,36.2522222,-85.9516667
lights,33.4222222,-111.8219444
lights,34.0983333,-118.3258333
lights,38.0194444,-122.1330556
lights,32.7833333,-96.8
lights,37.6447222,-115.7427778
lights,45.565,-117.9163889
lights,44.8838889,-84.3055556
lights,44.8838889,-84.3055556
lights,38.1266667,-92.0844444
lights,42.3952778,-94.6336111
lights,41.0041667,-92.3736111
lights,46.0130556,-91.4844444
lights,39.1619444,-84.4569444
lights,39.7683333,-86.1580556
lights,33.8075,-78.7011111
lights,35.0844444,-106.6505556
lights,49.966667,-98.3
lights,25.9327778,-80.1627778
lights,31.1911111,-95.2352778
lights,33.5058333,-102.0086111
lights,42.1033333,-76.2625
lights,27.2541667,-80.23
lights,27.2541667,-80.23
lights,29.7630556,-95.3630556
lights,33.4213889,-96.5769444
lights,39.8855556,-104.9866667
lights,45.5113889,-92.98
lights,40.7138889,-116.1030556
lights,43.8280556,-91.3038889
lights,38.2544444,-104.6086111
lights,34.2255556,-77.945
lights,42.7675,-78.7441667
lights,34.3769444,-82.6958333
lights,41.7886111,-89.6961111
lights,41.7886111,-89.6961111
lights,47.9791667,-122.2008333
lights,25.7738889,-80.1938889
lights,37.6086111,-77.3736111
lights,43.0480556,-76.1477778
lights,29.9938889,-90.2416667
lights,39.7463889,-84.2866667
lights,42.7647222,-71.4402778
lights,42.9275,-83.63
lights,42.4775,-83.0277778
lights,42.3086111,-83.4822222
lights,39.1611111,-80.3522222
lights,42.5294444,-83.7802778
lights,33.9533333,-117.3952778
lights,39.7944444,-87.3958333
lights,42.0386111,-78.3411111
lights,42.0386111,-78.3411111
lights,42.0386111,-78.3411111
lights,41.9316667,-87.9888889
lights,38.7138889,-121.4616667
lights,39.7391667,-104.9841667
lights,39.2191667,-121.06
lights,40.7425,-84.1052778
lights,32.7833333,-96.8
lights,38.7297222,-120.7975
lights,39.1652778,-86.5263889
lights,40.6808333,-112.2622222
lights,33.5805556,-112.2366667
lights,32.8794444,-111.7566667
lights,47.0227778,-91.6705556
lights,30.6322222,-87.0397222
lights,35.5361111,-100.9594444
lights,35.5361111,-100.9594444
lights,39.0297222,-84.3663889
lights,47.6063889,-122.3308333
lights,35.0241667,-81.0280556
lights,37.9780556,-122.03
lights,31.2577778,-95.9780556
lights,40.7616667,-73.3297222
lights,33.8491667,-118.3875
lights,44.8277778,-92.9436111
lights,37.5958333,-122.0180556
lights,37.7622222,-84.8433333
lights,47.3525,-121.9825
lights,47.3525,-121.9825
lights,43.4194444,-83.9508333
lights,38.9716667,-95.235
lights,44.4905556,-73.1113889
lights,39.1619444,-84.4569444
lights,33.5966667,-83.8602778
lights,41.88,-88.0077778
lights,45.583333,-72.0
lights,39.7338889,-90.2288889
lights,36.0688889,-79.4008333
lights,53.55,-113.5
lights,40.7141667,-74.0063889
lights,36.9086111,-116.7583333
lights,35.1405556,-85.2327778
lights,40.9852778,-86.8794444
lights,39.2402778,-76.8397222
lights,47.0380556,-122.8994444
lights,40.7280556,-74.0780556
lights,43.5341667,-70.9102778
lights,41.7386111,-80.77
lights,40.0638889,-80.7211111
lights,36.0988889,-78.3013889
lights,41.5619444,-73.6030556
lights,44.8830556,-68.6725
lights,42.0969444,-79.2355556
lights,34.7463889,-92.2894444
lights,36.1325,-88.5186111
lights,40.2986111,-83.0680556
lights,36.3377778,-96.8036111
lights,40.4619444,-78.2
lights,40.6836111,-73.5105556
lights,29.7630556,-95.3630556
lights,47.4736111,-94.88
lights,44.5191667,-88.0197222
lights,41.6527778,-70.2833333
lights,33.0183333,-80.1758333
lights,28.0391667,-81.95
lights,28.0391667,-81.95
lights,41.3683333,-82.1077778
lights,47.3444444,-122.7619444
lights,38.8338889,-104.8208333
lights,40.3461111,-94.8722222
lights,39.0997222,-94.5783333
lights,37.8044444,-122.2697222
lights,48.9202778,-122.3413889
lights,47.6063889,-122.3308333
lights,40.5219444,-111.9383333
lights,39.6005556,-82.9461111
lights,35.0844444,-106.6505556
lights,37.5536111,-77.4605556
lights,39.1269,-92.4399
lights,41.6027778,-87.7438889
lights,41.6027778,-87.7438889
lights,41.6302778,-87.8538889
lights,41.5733333,-87.7844444
lights,41.6302778,-87.8538889
lights,41.6302778,-87.8538889
lights,41.6252778,-87.7175
lights,41.6027778,-87.7438889
lights,41.5733333,-87.7844444
lights,41.5733333,-87.7844444
lights,41.5733333,-87.7844444
lights,41.5733333,-87.7844444
lights,41.7205556,-87.7016667
lights,41.6688889,-87.7386111
lights,41.6611111,-87.7525
lights,41.6611111,-87.7525
lights,41.4225,-87.9858333
lights,41.6027778,-87.7438889
lights,41.6027778,-87.7438889
lights,41.6316667,-87.6813889
lights,43.25,-79.833333
lights,45.07,-85.2644444
lights,41.5733333,-87.7844444
lights,40.7141667,-74.0063889
lights,41.6269444,-88.2038889
lights,39.1886111,-91.9827778
lights,43.07,-94.2327778
lights,39.5786111,-76.6158333
lights,36.175,-115.1363889
lights,35.6869444,-105.9372222
lights,38.4,-105.2166667
lights,39.7391667,-104.9841667
lights,39.2247222,-106.0013889
lights,39.9161111,-106.725
lights,38.35,-104.7222222
lights,36.4072222,-105.5725
lights,36.9033333,-104.4386111
lights,36.9033333,-104.4386111
lights,39.4369444,-104.9591667
lights,39.6375,-106.0613889
lights,38.35,-104.7222222
lights,36.7280556,-108.2180556
lights,36.7280556,-108.2180556
lights,44.383333,-79.7
lights,21.3155556,-158.0072222
lights,35.2080556,-82.2386111
lights,31.7380556,-99.9469444
lights,41.4747222,-84.5525
lights,41.4747222,-84.5525
lights,38.4191667,-82.4452778
lights,42.8613889,-105.8716667
lights,35.7211111,-77.9158333
lights,43.4666667,-112.0333333
lights,47.4830556,-122.2158333
lights,41.3494444,-85.1355556
lights,33.1730556,-84.915
lights,41.8786111,-71.3830556
lights,42.3086111,-83.4822222
lights,41.8238889,-71.4133333
lights,34.5097222,-88.2091667
lights,35.0525,-78.8786111
lights,48.4,-89.233333
lights,48.4,-89.233333
lights,26.1322222,-97.6308333
lights,31.7091667,-98.9908333
lights,31.7091667,-98.9908333
lights,34.2255556,-77.945
lights,41.7830556,-123.0591667
lights,33.6305556,-112.3325
lights,27.3361111,-82.5308333
lights,44.0522222,-123.0855556
lights,44.0522222,-123.0855556
lights,42.7261111,-87.7827778
lights,42.4805556,-83.4755556
lights,40.1933333,-85.3863889
lights,40.015,-105.27
lights,29.7955556,-90.8227778
lights,40.8841667,-72.9377778
lights,43.3380556,-89.3802778
lights,36.8297222,-84.8491667
lights,40.8,-96.6666667
lights,39.9991667,-78.2388889
lights,36.1538889,-95.9925
lights,45.9763889,-94.3622222
lights,32.7555556,-98.9019444
lights,43.4155556,-72.8227778
lights,25.7738889,-80.1938889
lights,61.3213889,-149.5677778
lights,33.6608333,-95.5552778
lights,38.005,-121.8047222
lights,40.2502778,-103.7994444
lights,43.1008333,-75.2330556
lights,43.1008333,-75.2330556
lights,33.4483333,-112.0733333
lights,33.4222222,-111.8219444
lights,33.5805556,-112.2366667
lights,30.6325,-97.6769444
lights,42.6388889,-83.2911111
lights,38.7044444,-93.2280556
lights,36.3319444,-94.1183333
lights,33.1975,-96.615
lights,46.6022222,-120.5047222
lights,43.55,-96.7
lights,30.6033333,-87.9036111
lights,31.3380556,-94.7288889
lights,35.9605556,-83.9208333
lights,36.2716667,-83.14
lights,43.0116667,-88.2313889
lights,43.9,-78.866667
lights,38.1958333,-81.4777778
lights,38.1958333,-81.4777778
lights,30.2669444,-97.7427778
lights,41.3144444,-81.8358333
lights,38.2205556,-90.3958333
lights,40.7425,-84.1052778
lights,35.7452778,-81.685
lights,44.25,-79.466667
lights,30.2669444,-97.7427778
lights,39.5588889,-84.3041667
lights,40.6936111,-89.5888889
lights,45.766667,-79.4
lights,44.0522222,-123.0855556
lights,40.6547222,-76.1011111
lights,45.5236111,-122.675
lights,33.4355556,-112.3488889
lights,30.4097222,-86.6630556
lights,26.3180556,-80.1
lights,39.7391667,-104.9841667
lights,45.6,-73.733333
lights,39.9402778,-82.0133333
lights,42.5630556,-114.46
lights,36.1880556,-94.5402778
lights,43.6136111,-116.2025
lights,36.1880556,-96.49
lights,33.4222222,-111.8219444
lights,32.7677778,-117.0222222
lights,30.0858333,-94.1016667
lights,48.766667,-80.666667
lights,35.5847222,-80.8102778
lights,46.2113889,-119.1361111
lights,46.2113889,-119.1361111
lights,42.8125,-70.8777778
lights,40.6905556,-76.2625
lights,38.8858333,-94.5327778
lights,38.8858333,-94.5327778
lights,38.8858333,-94.5327778
lights,32.7763889,-79.9311111
lights,35.2269444,-80.8433333
lights,37.775,-122.4183333
lights,41.4569444,-122.8936111
lights,40.7355556,-74.1727778
lights,39.0236111,-94.6933333
lights,35.0463889,-81.9819444
lights,35.0463889,-81.9819444
lights,33.6058333,-78.9733333
lights,33.6888889,-78.8869444
lights,40.2430556,-79.2377778
lights,40.5675,-89.6405556
lights,41.6736111,-88.0016667
lights,41.2222222,-73.0569444
lights,41.7205556,-87.7016667
lights,41.5580556,-73.0519444
lights,40.0088889,-77.1158333
lights,36.3352778,-92.385
lights,41.2616667,-75.8972222
lights,41.2616667,-75.8972222
lights,41.2619444,-95.8608333
lights,41.2619444,-95.8608333
lights,47.6588889,-117.425
lights,40.3347222,-83.4658333
lights,47.6447222,-122.6936111
lights,42.3683333,-83.3527778
lights,50.45,-104.616667
lights,40.7141667,-74.0063889
lights,32.0866667,-82.1180556
lights,34.54,-112.4677778
lights,33.1191667,-117.0855556
lights,44.9958333,-92.8791667
lights,44.9958333,-92.8791667
lights,43.9,-78.866667
lights,37.725,-122.155
lights,28.5380556,-81.3794444
lights,29.3991667,-95.8375
lights,29.3991667,-95.8375
lights,34.54,-112.4677778
lights,39.0597222,-94.8833333
lights,46.955,-112.6808333
lights,34.1647222,-114.3002778
lights,43.2488889,-70.5997222
lights,33.8025,-85.1886111
lights,36.8663889,-83.8888889
lights,34.7463889,-92.2894444
lights,34.7463889,-92.2894444
lights,40.9827778,-74.9608333
lights,38.3697222,-90.3783333
lights,43.7094444,-98.0294444
lights,36.1052778,-77.7130556
lights,39.595,-75.1705556
lights,35.2233333,-114.2222222
lights,35.2233333,-114.2222222
lights,34.9022222,-110.1575
lights,39.9625,-76.7280556
lights,32.7919444,-115.5622222
lights,34.6227778,-97.3961111
lights,27.9011111,-81.5861111
lights,32.7763889,-79.9311111
lights,35.0844444,-106.6505556
lights,43.666667,-79.416667
lights,39.4277778,-86.4283333
lights,44.3097222,-89.5136111
lights,41.5733333,-87.7844444
lights,35.5977778,-82.4
lights,47.4625,-92.5397222
lights,41.8097222,-72.8311111
lights,45.4872222,-122.8025
lights,41.9219444,-71.55
lights,41.2586111,-95.9375
lights,33.4916667,-80.8558333
lights,35.6225,-117.67
lights,40.9311111,-73.8991667
lights,46.3669444,-104.2841667
lights,35.5769444,-92.1772222
lights,38.2858333,-91.7202778
lights,40.3977778,-105.0744444
lights,31.8455556,-102.3672222
lights,35.1794444,-80.6475
lights,36.175,-115.1363889
lights,32.7177778,-100.9172222
lights,45.3,-122.7725
lights,39.1619444,-84.4569444
lights,33.7738889,-117.9405556
lights,43.0716667,-70.7630556
lights,37.9747222,-87.5558333
lights,36.7097222,-81.9775
lights,40.015,-105.27
lights,38.6244444,-76.9394444
lights,33.5225,-117.7066667
lights,41.4552778,-81.9180556
